Feature group,Feature name,Definition / formula,Input image or mask,Normalization denominator,Key parameters,Notes
GLCM texture,GLCM_dissimilarity,GLCM dissimilarity from normalized gray-level co-occurrence matrices.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
GLCM texture,GLCM_homogeneity,GLCM homogeneity from normalized gray-level co-occurrence matrices.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
GLCM texture,GLCM_ASM,GLCM angular second moment from normalized gray-level co-occurrence matrices.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
GLCM texture,GLCM_energy,Square root of angular second moment as reported by graycoprops.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
GLCM texture,GLCM_correlation,GLCM correlation from normalized gray-level co-occurrence matrices.,Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
GLCM texture,GLCM_entropy,"Mean entropy, -Σ p log2(p), computed from nonzero normalized GLCM probabilities for each distance-angle matrix and averaged.",Quantized Gaussian-smoothed UV-PAM ROI intensities,,"32 gray levels; distances = 1, 2 px; angles = 0°, 45°, 90°, 135°; symmetric=True; normed=True; properties averaged across distance-angle matrices.",
Signal-ratio features,LowSignalRatio,Fraction of ROI pixels with intensity <= low-signal threshold.,Low-signal mask,ROI pixel count,"Low/high thresholds from pooled ROI pixel distribution: 15th percentile = 42, 85th percentile = 150 in the current dataset.",
Signal-ratio features,HighSignalRatio,Fraction of ROI pixels with intensity >= high-signal threshold.,High-signal mask,ROI pixel count,"Low/high thresholds from pooled ROI pixel distribution: 15th percentile = 42, 85th percentile = 150 in the current dataset.",
Signal-ratio features,SignalAreaRatio,Fraction of ROI pixels above the low-signal threshold.,Signal-bearing mask,ROI pixel count,"Low/high thresholds from pooled ROI pixel distribution: 15th percentile = 42, 85th percentile = 150 in the current dataset.",
Signal-ratio features,CavityRatio,Operationally defined as fraction of ROI pixels with intensity <= low-signal threshold.,Low-signal mask,ROI pixel count,"Low/high thresholds from pooled ROI pixel distribution: 15th percentile = 42, 85th percentile = 150 in the current dataset.",Exact duplicate of LowSignalRatio in the extraction code; retained only to document the original output and excluded from the nonredundant full-feature baseline.
Low-signal morphology,LowObj_Count,Number of filtered low-signal connected components.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
Low-signal morphology,LowObj_Density_per_10kpx,LowObj_Count × 10000 / ROI area in pixels.,Filtered low-signal object mask,ROI pixel count,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
Low-signal morphology,LowObj_MeanArea_px,Mean area of filtered low-signal connected components in pixels.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
Low-signal morphology,LowObj_MedianArea_px,Median area of filtered low-signal connected components in pixels.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
Low-signal morphology,LowObj_MeanCircularity,Mean circularity = 4π × area / perimeter² across filtered low-signal objects.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,Objects with zero perimeter are excluded or assigned zero according to implementation.
Low-signal morphology,LowObj_MeanSolidity,Mean solidity of filtered low-signal objects from regionprops.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,Solidity = object area / convex hull area.
Low-signal morphology,LowObj_MeanEccentricity,Mean eccentricity of filtered low-signal objects from regionprops.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
Low-signal morphology,LowObj_MeanAspectRatio,Mean major_axis_length / minor_axis_length across filtered low-signal objects.,Filtered low-signal object mask,,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,Objects with zero minor axis are excluded from aspect-ratio calculation.
Low-signal morphology,LowObj_TotalAreaRatio_filtered,Total area of filtered low-signal objects / ROI pixel count.,Filtered low-signal object mask,ROI pixel count,Low mask = intensity <= low threshold; remove objects smaller than 16 px; connected components labeled with skimage.measure.label; region properties from regionprops.,
